Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
EDM ['y'],ABSplastic,1.0,424000.00000000006,86.10902404785156,55.0,938.0000000000001,Supplier-A,55.0,90
EDM ['y'],ABSplastic,0.9,381599.9353027345,106.19747161865234,3775.0080166172756,15818.032066469103,Supplier-A,3775.02,14971
EDM ['y'],ABSplastic,0.8,339200.03234863287,134.56356811523438,7495.016033234551,30698.064132938205,Supplier-A,7495.02,29851
EDM ['y'],ABSplastic,0.7,296799.96765136725,175.639404296875,11215.02404985183,45578.09619940732,Supplier-A,11215.03,44731
EDM ['y'],ABSplastic,0.6,254400.01617431644,239.04783630371094,14935.032066469108,60458.12826587643,Supplier-A,14935.03,59611
EDM ['y'],ABSplastic,0.5,212000.00000000003,344.43682861328125,18655.040083086384,75338.16033234553,Supplier-A,18655.05,74491
EDM ['y'],ABSplastic,0.4,169600.01617431644,538.2542724609375,22375.048099703657,90218.19239881463,Supplier-A,22375.05,89371
EDM ['y'],ABSplastic,0.3,127200.00808715822,956.1824951171875,26095.05611632093,105098.22446528373,Supplier-A,26095.07,104251
EDM ['y'],ABSplastic,0.2,84800.00808715822,2153.02783203125,29815.064132938216,119978.25653175286,Supplier-A,29815.07,119131
EDM ['y'],ABSplastic,0.1,42400.00404357911,8612.08203125,33535.07214955549,134858.28859822196,Supplier-A,33535.08,134011
EDM ['y'],ABSplastic,0.05,21200.002021789554,34448.3125,35395.076157864125,142298.3046314565,Supplier-A,35395.08,141451
EDM ['y'],ABSplastic,0.01,4240.000000000001,861205.4375,36883.07936451104,148250.31745804416,Supplier-A,36883.08,147403
EDM ['y'],ABSplastic,0.005,2120.0000000000005,3444829.0,37069.0797653419,148994.3190613676,Supplier-A,37069.08,148147
